,season,completions,attempts,passing_yards,passing_tds,passing_air_yards,passing_yards_after_catch,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,pacr,racr,target_share,air_yards_share,wopr_x,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,age,predicted_points
92,2021,0,1,0.0,0,25.0,0.0,0,4,18.0,0,0.0,0.0,1.0,-1.437612365464151,0,145,191,1947.0,16,0.0,0.0,1641.0,846.0,89.0,111.88284767521604,1,0.0,21.944289806670792,5.495459006963327,5.641115282405869,12.191969208129098,17,0.314662273476112,0.3196338137904168,0.3958820776789892,0.7277004612465016,0.3979153893316983,0.3902439024390244,0.3819742489270386,0.3832116788321167,0.3940796458853614,0.3963810919531635,3.2075782537067545,0.2583288270284249,28,295.56168
192,2021,2,4,35.0,0,36.0,28.0,0,6,14.0,0,0.0,0.0,1.0,-2.2447933896328323,0,108,167,1616.0,10,1.0,1.0,2071.0,482.0,75.0,80.57113027379445,0,1.0,13.527427076608872,4.99988763913464,7.789226823579995,12.952290235207954,17,0.2764900662251656,0.4275392237819983,0.2489669421487603,0.756766478363347,0.3631460674157303,0.2941176470588235,0.3712871287128713,0.3601694915254237,0.3286318572372769,0.349340383344349,2.6754966887417218,0.2062421972534332,22,228.06953
30,2021,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,123,169,1553.0,11,0.0,0.0,1602.0,613.0,84.0,71.96588018300136,0,0.0,17.733517443704297,5.068822851721333,5.922834780054763,11.749218623620337,16,0.3039568345323741,0.3635125936010892,0.2683887915936953,0.7467453266794325,0.3576692768309534,0.2972972972972973,0.3733333333333333,0.3625954198473282,0.3274832870641254,0.3455948809242222,2.7931654676258995,0.2172541299107762,29,228.05583
223,2021,0,0,0.0,0,0.0,0.0,0,7,21.0,0,0.0,0.0,2.0,-2.227073257789016,0,81,128,1455.0,13,2.0,1.0,1617.0,651.0,56.0,65.33957198970779,0,0.0,19.847627380807666,3.949607385061373,6.266376395521558,10.310874554457149,17,0.2306306306306306,0.3679180887372014,0.2694536423841059,0.640280416935707,0.3027465667915106,0.3611111111111111,0.2692307692307692,0.2827868852459016,0.3319288389513108,0.3144194756554307,2.621621621621621,0.1842665634225427,21,227.93187
166,2021,1,2,24.0,1,39.0,0.0,0,59,365.0,8,0.0,0.0,21.0,20.849417409073794,0,77,121,1405.0,6,4.0,2.0,1029.0,780.0,51.0,55.31051865615728,0,1.0,22.455835197133734,4.19285525655663,4.623942092148814,9.526042349339114,16,0.25,0.2718626155878467,0.3733843944471038,0.5924900924702774,0.3395360077332044,0.25,0.2698412698412698,0.2676056338028169,0.2947680038666022,0.3216288061865636,2.902892561983471,0.2344413550787788,25,224.95149
32,2021,0,0,0.0,0,0.0,0.0,0,1,10.0,0,0.0,0.0,1.0,0.6375567223876715,0,74,114,1035.0,14,0.0,0.0,1504.0,239.0,56.0,65.69545162617443,0,0.0,12.30155659425663,2.6702531096609188,4.272908267469358,6.996415451719929,16,0.1628571428571428,0.2667612628591699,0.0959839357429718,0.4576947245730502,0.2009318578916715,0.3333333333333333,0.21455938697318,0.231023102310231,0.2671325956125024,0.2274121529800039,1.4785714285714286,0.1437222137053503,28,195.75746
65,2021,0,0,0.0,0,0.0,0.0,0,9,96.0,0,0.0,0.0,4.0,2.9771603627013974,0,111,159,1239.0,9,2.0,1.0,1647.0,444.0,75.0,62.36571529114821,0,0.0,13.925718638366003,4.214110234145003,6.005553916841985,10.525053093006894,17,0.2355555555555555,0.3319895182422898,0.1627565982404692,0.6189249479271652,0.2509621227466072,0.2432432432432432,0.2808988764044944,0.2763157894736842,0.2471026829949252,0.2494183468459344,1.835555555555556,0.1684008451280187,27,191.45348
38,2021,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,103,164,1225.0,10,1.0,0.0,1827.0,326.0,66.0,31.989855666641777,0,0.0,11.939804097156946,4.602143666906507,6.005575245547312,11.107118172242878,17,0.250381679389313,0.3411764705882353,0.1861793260993718,0.6485136955545577,0.2752808988764045,0.2777777777777778,0.2796610169491525,0.2794117647058823,0.2765293383270911,0.2757802746566792,1.870229007633588,0.1673014942865514,28,188.66759
82,2021,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,76,129,1146.0,9,0.0,0.0,1497.0,415.0,51.0,65.61528882257889,1,0.0,17.3906956093602,3.2168064517046155,4.725027926600804,8.132729226177485,16,0.2018779342723004,0.3094253823894171,0.1893248175182481,0.5503572073199844,0.24497648567764,0.2432432432432432,0.2151898734177215,0.218978102189781,0.2441098644604416,0.2446298371907606,1.7934272300469485,0.1447675852109286,27,177.74896
48,2021,0,0,0.0,0,0.0,0.0,0,2,9.0,0,0.0,0.0,0.0,-0.1552220984012819,0,73,107,1175.0,8,0.0,0.0,1562.0,277.0,41.0,52.56914624355258,1,0.0,14.901420085278772,3.881308294954305,5.971998832839836,10.002361625419343,16,0.230603448275862,0.371021377672209,0.1666666666666666,0.6427222745515604,0.3211259907078437,0.2666666666666666,0.2578616352201258,0.2592592592592592,0.2938963286872552,0.3102341258996083,2.5323275862068964,0.1716121877354869,29,175.20221
